"1","X","2","DATE","home_f","home_s","away_f","away_s","update-date"
"1.64","4","5","03.08. 20:15","LECH POZNAŃ","LPO","LECHIA GDAŃSK","LGD","202407311548"
"2.07","3.35","3.65","04.08. 17:30","ŚLĄSK WROCŁAW","ŚLA","RADOMIAK RADOM","RAD","202407311548"
"2.47","3.5","2.85","05.08. 19:00","CRACOVIA","CRA","WIDZEW ŁÓDŹ","WID","202408050952"
"2","3.5","3.8","05.08. 20:30","ŁKS ŁÓDŹ","ŁKS","GÓRNIK ŁĘCZNA","GKŁ","202408052002"
"3.1","3.45","2.29","09.08. 18:00","CHROBRY GŁOGÓW","CHR","GKS TYCHY","TYC","202408091606"
"2.33","3.4","3.05","10.08. 14:30","GÓRNIK ŁĘCZNA","GKŁ","POLONIA WARSZAWA","POL","202408091606"
"1.98","3.65","3.6","10.08. 17:00","WARTA POZNAŃ","WAR","STAL STALOWA WOLA","STW","202408091606"
"1.61","4","5.6","09.08. 20:30","ARKA GDYNIA","ARK","ZNICZ PRUSZKÓW","ZNI","202408091606"
"2.15","3.45","3.25","10.08. 19:35","MIEDŹ LEGNICA","MIE","ŁKS ŁÓDŹ","ŁKS","202408091606"
"3.6","3.6","1.99","11.08. 12:00","POGOŃ SIEDLCE","PGS","BRUK-BET TERMALICA NIECIECZA","BBT","202408091606"
"2.44","3.35","2.75","12.08. 19:00","WISŁA KRAKÓW","WIS","RUCH CHORZÓW","RCH","202408091606"
"2.95","3.2","2.45","11.08. 14:30","ODRA OPOLE","ODR","WISŁA PŁOCK","WPŁ","202408091606"
"2.31","3.4","3","11.08. 17:00","KOTWICA KOŁOBRZEG","KOT","STAL RZESZÓW","STA","202408091606"
"2.15","3.35","3.45","10.08. 17:30","KORONA KIELCE","KOR","CRACOVIA","CRA","202408091607"
"1.9","3.7","4.1","09.08. 20:30","RAKÓW CZĘSTOCHOWA","RCZ","LECH POZNAŃ","LPO","202408091607"
"4.5","3.8","1.77","11.08. 17:30","PUSZCZA NIEPOŁOMICE","PUN","LEGIA WARSZAWA","LEG","202408091607"
"2.3","3.3","3.25","11.08. 20:15","WIDZEW ŁÓDŹ","WID","ŚLĄSK WROCŁAW","ŚLA","202408091607"
